m,n,k,b,p,q,algo,lookahead,gflops
1024,1024,1024,256,2,2,p2p,0,56.171265
1024,1024,1024,256,2,2,p2p,0,127.250743
1024,1024,1024,256,2,2,p2p,0,127.651651
1024,1024,1024,256,2,2,p2p,0,124.999052
1024,1024,1024,256,2,2,p2p,0,126.897344
1024,1024,1024,256,2,2,bcast,0,77.782015
1024,1024,1024,256,2,2,bcast,0,125.050002
1024,1024,1024,256,2,2,bcast,0,125.723533
1024,1024,1024,256,2,2,bcast,0,125.254220
1024,1024,1024,256,2,2,bcast,0,128.645761
1024,1024,1024,256,2,2,p2p-i-la,1,51.218365
1024,1024,1024,256,2,2,p2p-i-la,1,123.043812
1024,1024,1024,256,2,2,p2p-i-la,1,122.636260
1024,1024,1024,256,2,2,p2p-i-la,1,120.774061
1024,1024,1024,256,2,2,p2p-i-la,1,125.929958
1024,1024,1024,256,2,2,p2p-i-la,2,71.382914
1024,1024,1024,256,2,2,p2p-i-la,2,118.658614
1024,1024,1024,256,2,2,p2p-i-la,2,117.535096
1024,1024,1024,256,2,2,p2p-i-la,2,116.761832
1024,1024,1024,256,2,2,p2p-i-la,2,117.586582
1024,1024,1024,256,2,2,p2p-i-la,3,74.663920
1024,1024,1024,256,2,2,p2p-i-la,3,117.799429
1024,1024,1024,256,2,2,p2p-i-la,3,119.324532
1024,1024,1024,256,2,2,p2p-i-la,3,115.723638
1024,1024,1024,256,2,2,p2p-i-la,3,117.573703
1024,1024,1024,256,2,2,p2p-i-la,4,73.614551
1024,1024,1024,256,2,2,p2p-i-la,4,116.124133
1024,1024,1024,256,2,2,p2p-i-la,4,115.462319
1024,1024,1024,256,2,2,p2p-i-la,4,113.527368
1024,1024,1024,256,2,2,p2p-i-la,4,116.787237
2048,2048,2048,256,2,2,p2p,0,115.385544
2048,2048,2048,256,2,2,p2p,0,125.908737
2048,2048,2048,256,2,2,p2p,0,125.627924
2048,2048,2048,256,2,2,p2p,0,125.973356
2048,2048,2048,256,2,2,p2p,0,125.631593
2048,2048,2048,256,2,2,bcast,0,114.190656
2048,2048,2048,256,2,2,bcast,0,125.444458
2048,2048,2048,256,2,2,bcast,0,125.264263
2048,2048,2048,256,2,2,bcast,0,124.808350
2048,2048,2048,256,2,2,bcast,0,124.891823
2048,2048,2048,256,2,2,p2p-i-la,1,107.834500
2048,2048,2048,256,2,2,p2p-i-la,1,127.842585
2048,2048,2048,256,2,2,p2p-i-la,1,124.299046
2048,2048,2048,256,2,2,p2p-i-la,1,126.131514
2048,2048,2048,256,2,2,p2p-i-la,1,123.560630
2048,2048,2048,256,2,2,p2p-i-la,2,108.162419
2048,2048,2048,256,2,2,p2p-i-la,2,123.525085
2048,2048,2048,256,2,2,p2p-i-la,2,125.669279
2048,2048,2048,256,2,2,p2p-i-la,2,125.121033
2048,2048,2048,256,2,2,p2p-i-la,2,124.683350
2048,2048,2048,256,2,2,p2p-i-la,3,107.369485
2048,2048,2048,256,2,2,p2p-i-la,3,119.880742
2048,2048,2048,256,2,2,p2p-i-la,3,125.650885
2048,2048,2048,256,2,2,p2p-i-la,3,123.721680
2048,2048,2048,256,2,2,p2p-i-la,3,121.139404
2048,2048,2048,256,2,2,p2p-i-la,4,103.829695
2048,2048,2048,256,2,2,p2p-i-la,4,124.398050
2048,2048,2048,256,2,2,p2p-i-la,4,121.185549
2048,2048,2048,256,2,2,p2p-i-la,4,122.874843
2048,2048,2048,256,2,2,p2p-i-la,4,120.540181
2048,2048,2048,256,2,2,p2p-i-la,5,104.840325
2048,2048,2048,256,2,2,p2p-i-la,5,122.768599
2048,2048,2048,256,2,2,p2p-i-la,5,122.941667
2048,2048,2048,256,2,2,p2p-i-la,5,122.950464
2048,2048,2048,256,2,2,p2p-i-la,5,121.781715
2048,2048,2048,256,2,2,p2p-i-la,6,111.000430
2048,2048,2048,256,2,2,p2p-i-la,6,122.141905
2048,2048,2048,256,2,2,p2p-i-la,6,122.325409
2048,2048,2048,256,2,2,p2p-i-la,6,121.169310
2048,2048,2048,256,2,2,p2p-i-la,6,122.307112
2048,2048,2048,256,2,2,p2p-i-la,7,103.390424
2048,2048,2048,256,2,2,p2p-i-la,7,121.719603
2048,2048,2048,256,2,2,p2p-i-la,7,121.654948
2048,2048,2048,256,2,2,p2p-i-la,7,119.963618
2048,2048,2048,256,2,2,p2p-i-la,7,120.041571
2048,2048,2048,256,2,2,p2p-i-la,8,111.184334
2048,2048,2048,256,2,2,p2p-i-la,8,122.910002
2048,2048,2048,256,2,2,p2p-i-la,8,120.190214
2048,2048,2048,256,2,2,p2p-i-la,8,121.025910
2048,2048,2048,256,2,2,p2p-i-la,8,121.063426
3072,3072,3072,256,2,2,p2p,0,121.250142
3072,3072,3072,256,2,2,p2p,0,125.187964
3072,3072,3072,256,2,2,p2p,0,124.443708
3072,3072,3072,256,2,2,p2p,0,124.307648
3072,3072,3072,256,2,2,p2p,0,122.614739
3072,3072,3072,256,2,2,bcast,0,113.328990
3072,3072,3072,256,2,2,bcast,0,120.735838
3072,3072,3072,256,2,2,bcast,0,120.608509
3072,3072,3072,256,2,2,bcast,0,120.137949
3072,3072,3072,256,2,2,bcast,0,121.955809
3072,3072,3072,256,2,2,p2p-i-la,1,116.000776
3072,3072,3072,256,2,2,p2p-i-la,1,119.754586
3072,3072,3072,256,2,2,p2p-i-la,1,121.602328
